20190504,浦东,金桥,9号线沿线，步行到华为，满五年唯一，两房南带阁楼,388万,高楼层(共6层)                                                    | 1999年建 |                                 2室1厅 | 80.8平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-ff5464fb-66a1-4651-9636-ad4cd7a89732.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,满五唯一，精装修，南北户型，近9号线，高层采光好,310万,高楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 74.8平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-7673ed52-073b-4ddc-92c9-e2073e9e3b64.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,此房满五唯一 南北户型，诚意出售01年商品房一梯两户,430万,低楼层(共6层)                                                    | 2001年建 |                                 2室1厅 | 84.22平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-ba5c8912-b5d7-4a6b-b20a-ffafd7302552.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,低总价两房；看房方便；配套完善；双轨6+12,589万,高楼层(共6层)                                                    | 2002年建 |                                 2室2厅 | 84.52平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-db08ad47-df10-4a77-8313-aeb13642d6c2.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,欧式风格建造 大平层 业主诚心出售 好位置  好楼层！,930万,中楼层(共7层)                                                    | 2005年建 |                                 4室2厅 | 172.43平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d3f66000-e0a5-4021-b042-c3c00dfd8941.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,近地铁6号线五莲路站 文峰广场 中层 双南 全明户型,280万,中楼层(共6层)                                                    | 1997年建 |                                 2室1厅 | 60.93平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-fcf9cc9c-333a-4859-89a0-cf8585eeb7bb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,面临公园大三房，采光很好，精装地暖，安静位置新上,765万,低楼层(共11层)                                                    | 2004年建 |                                 3室2厅 | 124.31平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-df3ad543-e161-456f-96f8-c0f98d853cb8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,金泽苑+大一房可改小两房+满五唯一+有钥匙+随时可看,330万,高楼层(共6层)                                                    | 1999年建 |                                 1室2厅 | 62.13平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-9c7893f5-7a0b-4354-aa75-a1d807bc593d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,花园位置不靠路，四年精装修，资源未用,332万,高楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 60.5平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-0b0bd088-c295-4f0e-839b-d1de76d7c7e2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,滨河公园3房，5个飘窗多12平，钥匙房随时看，近星河湾,920万,中楼层(共11层)                                                    | 2017年建 |                                 3室2厅 | 127.35平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-177beb24-5421-4af0-bd12-dde41f440bf4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,满五唯一 非一楼 南北通全明户型 配套一站式服务,520万,低楼层(共8层)                                                    | 2001年建 |                                 2室1厅 | 80.98平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-0b4d52fa-0057-4c0c-8cc7-3fb0fa45b273.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,金巷小区 一梯2户 房型正气  视野采光好 交通方便,305万,高楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 73.33平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-f237565f-d436-41bc-9902-e1672020c0ff.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,新出急售房源户型方正的大三房，视野好，采光佳,781万,高楼层(共6层)                                                    | 2002年建 |                                 3室2厅 | 126.83平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20160814/d3fb363d-167a-4c89-b54a-17904d9cdd0e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,6号线博兴路站400米，精装修大一房一梯两户单价低,220万,高楼层(共6层)                                                    | 1995年建 |                                 1室1厅 | 49.21平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-018760c1-0cbb-4840-be82-ca17fa19cfee.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,业主自住装修，中楼层，沿河位置，房型正气得房率高,530万,中楼层(共6层)                                                    | 2011年建 |                                 2室2厅 | 83.66平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-87f43872-357e-4bd2-ac66-4c927b2bd5fe.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,一梯两户，双南两房，双天井，实用面积很大，花园位置,375万,低楼层(共6层)                                                    | 1995年建 |                                 2室1厅 | 65.96平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-fc783e3d-4b62-420b-a8bf-8f33910e0da5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,四期2+1 户型正气 楼层佳 看房随时,740万,高楼层(共11层)                                                    | 2006年建 |                                 3室2厅 | 103.24平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-5ac01880-80f4-4c34-a43f-263b13973db6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,金地边套小三房，满五唯一有车位，景观楼层看房方便,650万,高楼层(共15层)                                                    | 2009年建 |                                 3室1厅 | 88.89平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a669c666-4eb0-4546-bb3c-5778d34867df.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,店长推荐好房+此房满五唯一税少+小区安静+业主精装修,460万,中楼层(共6层)                                                    | 2002年建 |                                 2室1厅 | 83.34平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a9cca37e-3064-416d-a42b-91b102b446fa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,9号线+6号线.全明，错层体验感，满五年，品质小区,650万,中楼层(共6层)                                                    | 2002年建 |                                 3室2厅 | 112.95平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-bbcabbac-41c0-48a4-8ce9-8dac35acbdef.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,一手动迁，南北 ，近中环 ，满五年不唯一.位置好,318万,高楼层(共7层)                                                    | 1996年建 |                                 2室1厅 | 63.73平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-a7953d6c-1fe3-4909-9bc1-0998b9ea960a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,浦东,金桥,双南电梯3房2卫6号线五莲路南北格局文峰商圈大花园,710万,中楼层(共11层)                                                    | 2000年建 |                                 3室2厅 | 119.1平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-3115066a-8dec-4c70-8020-d9a22dde0864.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
